"site1","site2","jaccard.dissimilarity","env","clim","spatial.site","horn.dissimilarity","range.1","range.2","comp.range"
"Upper Solders Camp Rd.","Butterfly trail",0.919363686,0.041709198,0.007409563,0.428221602,0.802361645,"MtLemmon","MtLemmon","Same"
"A1","C1",1,3.169701814,3.408248362,438.7610437,1,"Flagstaff","Chiricahuas","Different"
"A2","C1",1,3.114004649,3.408755394,437.7390016,1,"Flagstaff","Chiricahuas","Different"
"A3","C1",1,3.16096939,3.404528879,437.2683896,1,"Flagstaff","Chiricahuas","Different"
"B1","C1",1,0.357060326,1.260193015,405.1969864,1,"Bradshaw","Chiricahuas","Different"
"B2","C1",0.996734694,0.39039344,1.265535107,404.8632515,0.991701415,"Bradshaw","Chiricahuas","Different"
"B3","C1",1,0.343735594,1.265990835,405.0995654,1,"Bradshaw","Chiricahuas","Different"
"Butterfly trail","C1",0.945213379,1.241844701,0.838842287,149.9890867,0.890918834,"MtLemmon","Chiricahuas","Different"
"C1","C1",0,0,0,0,0,"Chiricahuas","Chiricahuas","Same"
"C2","C1",0.963269054,0.077991371,0.00709538,0.695169655,0.943273121,"Chiricahuas","Chiricahuas","Same"
"C3","C1",0.968004654,0.502760479,0.01328779,1.186240752,0.950716055,"Chiricahuas","Chiricahuas","Same"
"H1","C1",1,2.50389413,1.670238839,114.2151545,1,"Huachuas","Chiricahuas","Different"
"H2","C1",0.982367758,2.464480936,1.659667623,114.052212,0.962238347,"Huachuas","Chiricahuas","Different"
"H3","C1",1,2.383764507,1.637720959,113.9058776,1,"Huachuas","Chiricahuas","Different"
"H4","C1",1,0.846973984,2.108064333,553.4805836,1,"Hualapai","Chiricahuas","Different"
"H5","C1",1,0.288850474,2.169989906,553.9145254,1,"Hualapai","Chiricahuas","Different"
"H6","C1",1,0.707112697,1.999819655,552.716965,1,"Hualapai","Chiricahuas","Different"
"M1","C1",0.959642739,1.772004737,1.856682843,348.384662,0.913408385,"MogollonRim","Chiricahuas","Different"
"M2","C1",0.967632027,1.776311088,1.848378308,347.7417795,0.955325552,"MogollonRim","Chiricahuas","Different"
"M3","C1",0.93463035,1.772404395,1.842475626,347.2493415,0.845523991,"MogollonRim","Chiricahuas","Different"
"M4","C1",0.996732026,0.649786261,0.880191151,344.7538358,0.999223204,"MogollonRim","Chiricahuas","Different"
"M5","C1",1,0.052344862,0.88159825,344.3727183,1,"MogollonRim","Chiricahuas","Different"
"M6","C1",1,0.05858112,0.952948222,344.9463162,1,"MogollonRim","Chiricahuas","Different"
